Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-26760.17887,nan,nan,-0.199,0.121,1.032,nan,nan
-26760.198305,nan,nan,-0.199,0.121,1.036,nan,nan
-26760.217739,nan,nan,-0.203,0.121,1.036,nan,nan
-26760.237174,nan,nan,-0.199,0.121,1.032,nan,nan
-26760.256608,nan,nan,-0.199,0.117,1.032,nan,nan
-26760.276043,nan,nan,-0.203,0.121,1.036,nan,nan
-26760.295478,nan,nan,-0.199,0.121,1.032,nan,nan
-26760.314912,nan,nan,-0.199,0.121,1.036,nan,nan
-26760.334347,nan,nan,-0.199,0.117,1.028,nan,nan
-26760.353781,nan,nan,-0.203,0.117,1.032,nan,nan
-26760.373216,nan,nan,-0.199,0.117,1.036,nan,nan
-26760.39265,nan,nan,-0.207,0.125,1.032,nan,nan
-26760.412085,nan,nan,-0.203,0.121,1.032,nan,nan
-26760.43152,nan,nan,-0.203,0.117,1.032,nan,nan
-26760.450954,nan,nan,-0.203,0.121,1.032,nan,nan
-26760.470389,nan,nan,-0.199,0.121,1.036,nan,nan
-26760.489823,nan,nan,-0.203,0.117,1.032,nan,nan
-26760.509258,nan,nan,-0.199,0.117,1.036,nan,nan
-26760.528692,nan,nan,-0.203,0.121,1.036,nan,nan
-26760.548127,nan,nan,-0.203,0.121,1.036,nan,nan
-26760.567562,nan,nan,-0.207,0.117,1.036,nan,nan
-26760.586996,nan,nan,-0.203,0.117,1.032,nan,nan
-26760.606431,nan,nan,-0.199,0.121,1.032,nan,nan
-26760.625865,nan,nan,-0.203,0.121,1.032,nan,nan
-26760.6453,nan,nan,-0.203,0.121,1.036,nan,nan
-26760.664734,nan,nan,-0.199,0.121,1.028,nan,nan
-26760.684169,nan,nan,-0.199,0.121,1.036,nan,nan
-26760.703604,nan,nan,-0.207,0.121,1.04,nan,nan
-26760.723038,nan,nan,-0.203,0.117,1.032,nan,nan
-26760.742473,nan,nan,-0.203,0.117,1.036,nan,nan
-26760.761907,nan,nan,-0.207,0.121,1.032,nan,nan
-26760.781342,nan,nan,-0.203,0.121,1.032,nan,nan
-26760.800776,nan,nan,-0.203,0.121,1.028,nan,nan
-26760.820211,nan,nan,-0.203,0.113,1.032,nan,nan
-26760.839646,nan,nan,-0.207,0.113,1.032,nan,nan
-26760.85908,nan,nan,-0.207,0.117,1.032,nan,nan
-26760.878515,nan,nan,-0.207,0.117,1.032,nan,nan
-26760.897949,nan,nan,-0.207,0.121,1.032,nan,nan
-26760.917384,nan,nan,-0.203,0.121,1.028,nan,nan
-26760.936818,nan,nan,-0.203,0.117,1.032,nan,nan
-26760.956253,nan,nan,-0.199,0.117,1.036,nan,nan
-26760.975688,nan,nan,-0.203,0.121,1.036,nan,nan
-26760.995122,nan,nan,-0.207,0.117,1.036,nan,nan
-26761.014557,nan,nan,-0.203,0.117,1.032,nan,nan
