Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-55732.713929,nan,nan,0.938,-0.046,0.139,nan,nan
-55732.754474,nan,nan,0.946,-0.042,0.139,nan,nan
-55732.795019,nan,nan,0.942,-0.051,0.139,nan,nan
-55732.835563,nan,nan,0.946,-0.051,0.135,nan,nan
-55732.876108,nan,nan,0.942,-0.051,0.131,nan,nan
-55732.916653,nan,nan,0.942,-0.051,0.135,nan,nan
-55732.957198,nan,nan,0.946,-0.046,0.135,nan,nan
-55732.997743,nan,nan,0.946,-0.042,0.139,nan,nan
-55733.038288,nan,nan,0.949,-0.051,0.139,nan,nan
-55733.078833,nan,nan,0.946,-0.051,0.135,nan,nan
-55733.119378,nan,nan,0.946,-0.046,0.127,nan,nan
-55733.159923,nan,nan,0.938,-0.051,0.131,nan,nan
-55733.200468,nan,nan,0.942,-0.055,0.131,nan,nan
-55733.241013,nan,nan,0.938,-0.046,0.131,nan,nan
-55733.281558,nan,nan,0.949,-0.046,0.127,nan,nan
-55733.322103,nan,nan,0.942,-0.046,0.127,nan,nan
-55733.362647,nan,nan,0.942,-0.046,0.131,nan,nan
-55733.403192,nan,nan,0.942,-0.042,0.127,nan,nan
-55733.443737,nan,nan,0.942,-0.046,0.131,nan,nan
-55733.484282,nan,nan,0.942,-0.051,0.131,nan,nan
-55733.524827,nan,nan,0.942,-0.046,0.131,nan,nan
-55733.565372,nan,nan,0.942,-0.046,0.131,nan,nan
-55733.605917,nan,nan,0.946,-0.046,0.139,nan,nan
-55733.646462,nan,nan,0.946,-0.046,0.139,nan,nan
-55733.687007,nan,nan,0.946,-0.046,0.135,nan,nan
-55733.727552,nan,nan,0.946,-0.046,0.135,nan,nan
-55733.768097,nan,nan,0.946,-0.051,0.135,nan,nan
-55733.808642,nan,nan,0.942,-0.051,0.135,nan,nan
-55733.849187,nan,nan,0.942,-0.046,0.135,nan,nan
-55733.889731,nan,nan,0.946,-0.051,0.139,nan,nan
-55733.930276,nan,nan,0.938,-0.046,0.131,nan,nan
-55733.970821,nan,nan,0.949,-0.046,0.131,nan,nan
-55734.011366,nan,nan,0.942,-0.046,0.131,nan,nan
-55734.051911,nan,nan,0.942,-0.051,0.131,nan,nan
-55734.092456,nan,nan,0.946,-0.046,0.135,nan,nan
-55734.133001,nan,nan,0.949,-0.046,0.135,nan,nan
-55734.173546,nan,nan,0.946,-0.051,0.135,nan,nan
-55734.214091,nan,nan,0.942,-0.046,0.131,nan,nan
-55734.254636,nan,nan,0.938,-0.046,0.131,nan,nan
-55734.295181,nan,nan,0.938,-0.051,0.131,nan,nan
-55734.335726,nan,nan,0.946,-0.046,0.127,nan,nan
-55734.376271,nan,nan,0.938,-0.051,0.131,nan,nan
-55734.416815,nan,nan,0.942,-0.051,0.131,nan,nan
-55734.45736,nan,nan,0.938,-0.051,0.135,nan,nan
-55734.497905,nan,nan,0.946,-0.042,0.135,nan,nan
-55734.53845,nan,nan,0.938,-0.046,0.135,nan,nan
-55734.578995,nan,nan,0.946,-0.046,0.139,nan,nan
-55734.61954,nan,nan,0.942,-0.046,0.135,nan,nan
-55734.660085,nan,nan,0.938,-0.051,0.135,nan,nan
-55734.70063,nan,nan,0.946,-0.051,0.131,nan,nan
-55734.741175,nan,nan,0.938,-0.051,0.135,nan,nan
-55734.78172,nan,nan,0.946,-0.046,0.131,nan,nan
-55734.822265,nan,nan,0.946,-0.046,0.131,nan,nan
-55734.86281,nan,nan,0.938,-0.051,0.135,nan,nan
-55734.903354,nan,nan,0.938,-0.055,0.139,nan,nan
-55734.943899,nan,nan,0.938,-0.055,0.131,nan,nan
-55734.984444,nan,nan,0.949,-0.042,0.135,nan,nan
-55735.024989,nan,nan,0.938,-0.046,0.131,nan,nan
-55735.065534,nan,nan,0.938,-0.046,0.131,nan,nan
-55735.106079,nan,nan,0.942,-0.046,0.131,nan,nan
-55735.146624,nan,nan,0.934,-0.051,0.135,nan,nan
-55735.187169,nan,nan,0.942,-0.046,0.135,nan,nan
-55735.227714,nan,nan,0.946,-0.046,0.135,nan,nan
-55735.268259,nan,nan,0.946,-0.051,0.135,nan,nan
-55735.308804,nan,nan,0.938,-0.051,0.135,nan,nan
-55735.349349,nan,nan,0.942,-0.046,0.139,nan,nan
-55735.389894,nan,nan,0.946,-0.051,0.135,nan,nan
-55735.430438,nan,nan,0.942,-0.051,0.131,nan,nan
-55735.470983,nan,nan,0.934,-0.055,0.127,nan,nan
-55735.511528,nan,nan,0.946,-0.046,0.131,nan,nan
-55735.552073,nan,nan,0.938,-0.051,0.139,nan,nan
-55735.592618,nan,nan,0.942,-0.051,0.135,nan,nan
-55735.633163,nan,nan,0.946,-0.051,0.135,nan,nan
-55735.673708,nan,nan,0.942,-0.051,0.135,nan,nan
-55735.714253,nan,nan,0.946,-0.046,0.135,nan,nan
-55735.754798,nan,nan,0.942,-0.046,0.139,nan,nan
-55735.795343,nan,nan,0.942,-0.046,0.131,nan,nan
-55735.835888,nan,nan,0.938,-0.051,0.135,nan,nan
-55735.876433,nan,nan,0.946,-0.051,0.135,nan,nan
-55735.916978,nan,nan,0.942,-0.046,0.135,nan,nan
-55735.957522,nan,nan,0.946,-0.046,0.139,nan,nan
-55735.998067,nan,nan,0.946,-0.042,0.131,nan,nan
-55736.038612,nan,nan,0.942,-0.051,0.139,nan,nan
-55736.079157,nan,nan,0.946,-0.051,0.131,nan,nan
